Time(ms),Main(mA),Main Voltage(V),
1756273267758720,66.41930425692549,4.19,
1756273267758721,76.60932690632441,4.19175,
1756273267758721,83.36175155351647,4.18925,
1756273267758722,83.23898019629479,4.189,
1756273267758723,81.88849526685638,4.1905,
1756273267758723,82.87066612462976,4.1915000000000004,
1756273267758724,82.01126662407805,4.19275,
1756273267758725,82.87066612462976,4.192,
1756273267758725,82.50235205296475,4.191,
1756273267758726,82.62512341018642,4.19025,
1756273267758727,81.52018119519136,4.191,
1756273267758727,82.01126662407805,4.18825,
1756273267758728,82.13403798129973,4.19025,
1756273267758729,78.69643997909286,4.19475,
1756273267758729,65.31436204193042,4.19325,
1756273267758730,76.60932690632441,4.1905,
1756273267758731,86.55380684127998,4.1885,
1756273267758731,85.20332191184157,4.18925,
1756273267758732,86.06272141239329,4.19,
1756273267758732,85.69440734072826,4.19075,
1756273267758733,84.46669376851153,4.1925,
1756273267758734,88.3953771996051,4.1935,
1756273267758734,84.5894651257332,4.19025,
1756273267758735,84.46669376851153,4.18825,
1756273267758736,81.27463848074801,4.18925,
1756273267758736,81.27463848074801,4.19125,
1756273267758737,86.06272141239329,4.1935,
1756273267758738,95.02503048957547,4.19125,
1756273267758738,78.0825831929845,4.1930000000000005,
1756273267758739,75.258841976886,4.19025,
1756273267758739,81.39740983796969,4.1905,
1756273267758740,82.2568093385214,4.18975,
1756273267758741,82.62512341018642,4.19125,
1756273267758741,82.2568093385214,4.191,
1756273267758742,82.01126662407805,4.19275,
1756273267758743,83.97560833962483,4.1925,
1756273267758743,83.48452291073814,4.189,
1756273267758744,93.06068877402869,4.18875,
1756273267758745,93.06068877402869,4.191,
1756273267758745,84.09837969684651,4.19375,
1756273267758746,82.50235205296475,4.1925,
1756273267758747,82.2568093385214,4.192,
1756273267758747,66.91038968581218,4.1895,
1756273267758748,72.4351007607875,4.19,
1756273267758749,80.04692490853127,4.1915000000000004,
1756273267758749,80.90632440908298,4.19,
1756273267758750,81.15186712352634,4.19425,
1756273267758751,81.27463848074801,4.19075,
1756273267758751,81.64295255241304,4.18825,
1756273267758752,81.27463848074801,4.1915000000000004,
1756273267758752,80.04692490853127,4.18925,
1756273267758753,81.39740983796969,4.19325,
1756273267758754,81.02909576630466,4.1915000000000004,
1756273267758754,83.60729426795982,4.1915000000000004,
1756273267758755,96.86660084790057,4.1922500000000005,
1756273267758756,84.09837969684651,4.189,
1756273267758756,70.47075904524073,4.1905,
1756273267758757,74.64498519077763,4.191,
1756273267758758,94.28840234624542,4.19475,
1756273267758759,94.65671641791045,4.192,
1756273267758759,97.35768627678728,4.19,
1756273267758760,98.70817120622569,4.18975,
1756273267758761,95.3933445612405,4.19025,
1756273267758761,92.569603345142,4.192,
1756273267758762,96.98937220512225,4.189,
1756273267758763,90.2369475579302,4.191,
1756273267758763,81.02909576630466,4.19075,
1756273267758764,80.29246762297463,4.1930000000000005,
1756273267758765,85.69440734072826,4.192,
1756273267758765,94.04285963180207,4.19125,
1756273267758766,96.49828677623556,4.1915000000000004,
1756273267758767,88.88646262849178,4.1905,
1756273267758767,66.66484697136883,4.191,
1756273267758768,74.2766711191126,4.1905,
1756273267758769,92.0785179162553,4.1915000000000004,
1756273267758770,83.23898019629479,4.19275,
1756273267758770,80.29246762297463,4.1885,
1756273267758771,81.64295255241304,4.192,
1756273267758771,81.27463848074801,4.1915000000000004,
1756273267758772,80.41523898019629,4.19275,
1756273267758773,81.02909576630466,4.19275,
1756273267758773,80.41523898019629,4.19375,
1756273267758774,80.41523898019629,4.19,
1756273267758775,81.27463848074801,4.19075,
1756273267758775,82.01126662407805,4.18975,
1756273267758776,80.53801033741797,4.1925,
1756273267758777,80.53801033741797,4.19275,
1756273267758777,69.61135954468901,4.1955,
1756273267758778,73.78558569022591,4.1915000000000004,
1756273267758779,92.81514605958535,4.189,
1756273267758779,105.46059585341774,4.1855,
1756273267758780,141.92368894825483,4.19025,
1756273267758781,107.54770892618619,4.194,
